Snail_ID,Lake,Collection,Sex,Ploidy,RM,JC--,JCplus_minus,JC++,Total
AlFM17_10,Alexandrina,Field,Male,2x,Sexual,1.65,1.91,1.81,0.1
AlFM17_11,Alexandrina,Field,Male,2x,Sexual,1.64,2.9,1.92,0.98
AlFM17_8,Alexandrina,Field,Male,2x,Sexual,1.57,1.72,1.6,0.12
EyFF16_08,Ellery,Field,Female,2x,Sexual,1.71,1.2,1.18,0.02
EyFF16_09,Ellery,Field,Female,3x,Asexual,1,1.55,1.3,0.25
EyFF16_14,Ellery,Field,Female,3x,Asexual,1.68,1.46,1,0.46
EyFF16_16,Ellery,Field,Female,2x,Sexual,1.71,1.38,1.26,0.12
EyFF16_17,Ellery,Field,Female,3x,Asexual,1.81,1.27,1.17,0.1
KnFF16_5,Kaniere,Field,Female,2x,Sexual,1.33,1.92,1.9,0.02
KnFF16_7,Kaniere,Field,Female,3x,Asexual,1,1.89,1.79,0.1
KnFM16_12,Kaniere,Field,Male,2x,Sexual,1.05,1.88,1.74,0.14
KnFM16_4,Kaniere,Field,Male,2x,Sexual,1,2.04,2.01,0.03
KnFM16_5,Kaniere,Field,Male,2x,Sexual,1.06,2.04,2.02,0.02
KnFM16_8,Kaniere,Field,Male,2x,Sexual,1.06,2.14,1.98,0.16
MkFF17_2,Mapourika,Field,Female,2x,Sexual,1.25,1.66,1.33,0.33
MkFF17_3,Mapourika,Field,Female,3x,Asexual,1.14,1.59,1.54,0.05
MkFF17_5,Mapourika,Field,Female,3x,Asexual,1.37,1.42,1.18,0.24
MkFF17_7,Mapourika,Field,Female,2x,Sexual,9978,1.56,1.43,0.13
MkFM16_10,Mapourika,Field,Male,2x,Sexual,1,1.08,1,0.08
MkFM16_2,Mapourika,Field,Male,2x,Sexual,1,1.46,1.31,0.15
MkFM16_3,Mapourika,Field,Male,2x,Sexual,1,1.11,1.04,0.07
MkFM16_4,Mapourika,Field,Male,2x,Sexual,1,1.37,1.19,0.18
MkFM16_7,Mapourika,Field,Male,2x,Sexual,1.67,2.49,2.35,0.14
MkFM16_9,Mapourika,Field,Male,2x,Sexual,1,1.33,1.14,0.19
EyFF16_08,Rotoroa,Field,Female,2x,Sexual,1.22,2.47,2.37,0.1
RrFF17_2,Rotoroa,Field,Female,3x,Asexual,1,1.74,1.45,0.29
RrFF17_3,Rotoroa,Field,Female,2x,Sexual,1,1.41,1.36,0.05
RrFF17_5,Rotoroa,Field,Female,2x,Sexual,1.68,1.35,1.25,0.1
RrFF17_6,Rotoroa,Field,Female,2x,Sexual,1,1.24,1.12,0.12
SeF13_28,Selfe,Field,Female,3x,Asexual,1,1.02,1,0.02
SeFF17_10,Selfe,Field,Female,2x,Sexual,1.21,1.85,1.74,0.11
SeFF17_11,Selfe,Field,Female,3x,Asexual,1.02,1.95,1.85,0.1
SeFF17_12,Selfe,Field,Female,3x,Asexual,1,1.42,1.32,0.1
SeFF17_13,Selfe,Field,Female,3x,Asexual,1.05,1.33,1.25,0.08
SeFF17_14,Selfe,Field,Female,3x,Asexual,1,1.32,1.23,0.09
SeFF17_17,Selfe,Field,Female,2x,Sexual,1.08,1.3,1,0.3
SeFF17_9,Selfe,Field,Female,3x,Asexual,1,1.32,1.23,0.09
SeFM16_10,Selfe,Field,Male,2x,Sexual,1.38,1.92,1.5,0.42
SeFM16_11,Selfe,Field,Male,2x,Sexual,1,1.1,1,0.1
SeFM16_12,Selfe,Field,Male,3x,Asexual,1.38,2.2,1.88,0.32
SeFM16_7,Selfe,Field,Male,2x,Sexual,1.42,2.16,1.92,0.24
SeFM16_8,Selfe,Field,Male,2x,Sexual,21.3,2.67,2.04,0.63
SeFM16_9,Selfe,Field,Male,3x,Asexual,1.4,2.58,2,0.58
SeFM17_1,Selfe,Field,Male,2x,Sexual,1.06,1.57,1.53,0.04
SeFM17_3,Selfe,Field,Male,2x,Sexual,1.13,2.21,2.11,0.1
SeFM17_4,Selfe,Field,Male,2x,Sexual,1.07,1.55,1,0.55
