Snail ID,Lake,Collection,Sex,Ploidy,RM,Temperature,Head,Righting
AlFM17_10,Alexandrina,Field,Male,2x,Sexual,16C,13.64,19.02
AlFM17_11,Alexandrina,Field,Male,2x,Sexual,16C,8.97,19.11
AlFM17_8,Alexandrina,Field,Male,2x,Sexual,16C,2.71,9.27
AlOF16_10,Alexandrina,Lab,Female,2x,Sexual,16C,23.53,47.7
AlOF16_11,Alexandrina,Lab,Female,2x,Sexual,16C,4.7,38.7
AlOF16_3,Alexandrina,Lab,Female,2x,Sexual,16C,3.06,11.97
AlOF16_7,Alexandrina,Lab,Female,2x,Sexual,16C,19.5,164.39
AlOF16_8,Alexandrina,Lab,Female,2x,Sexual,16C,12.65,19.85
AlOM16_1,Alexandrina,Lab,Male,2x,Sexual,16C,10.12,31.91
AlOM16_3,Alexandrina,Lab,Male,2x,Sexual,16C,2.11,5.14
AlOM16_4,Alexandrina,Lab,Male,2x,Sexual,16C,4.65,24.04
AlOM16_5,Alexandrina,Lab,Male,2x,Sexual,16C,57.33,95.81
EyFF16_08,Ellery,Field,Female,2x,Sexual,16C,20.71,20.96
EyFF16_09,Ellery,Field,Female,3x,Asexual,16C,5.13,12.68
EyFF16_14,Ellery,Field,Female,3x,Asexual,16C,5.35,33.94
EyFF16_16,Ellery,Field,Female,2x,Sexual,16C,3.85,28.88
EyFF16_17,Ellery,Field,Female,3x,Asexual,16C,2.56,13.08
Gu4xAsF_11,Gunn,Lab,Female,4x,Asexual,16C,6.2,17.31
Gu4xAsF_12,Gunn,Lab,Female,4x,Asexual,16C,2,4.5
Gu4xAsF_13,Gunn,Lab,Female,4x,Asexual,16C,2.96,22.74
Gu4xAsF_4,Gunn,Lab,Female,4x,Asexual,16C,3.22,9.93
Gu4xAsF_7,Gunn,Lab,Female,4x,Asexual,16C,1.65,5.67
Gu4xAsF_8,Gunn,Lab,Female,4x,Asexual,16C,3.81,10.4
Gu4xAsF_9,Gunn,Lab,Female,4x,Asexual,16C,3.03,5
Gu4xAsM_3,Gunn,Lab,Male,4x,Asexual,16C,2.17,6.98
Gu4xAsM_5,Gunn,Lab,Male,4x,Asexual,16C,1.63,3.28
Gu4xAsM_6,Gunn,Lab,Male,4x,Asexual,16C,3.89,8.09
Gu4xAsM_8,Gunn,Lab,Male,4x,Asexual,16C,1.13,8.3
Gu4xAsM_9,Gunn,Lab,Male,4x,Asexual,16C,2.27,9.39
Hr76AsF3N_1,Heron,Lab,Female,3x,Asexual,16C,11.98,47.25
Hr76AsF3N_8,Heron,Lab,Female,3x,Asexual,16C,4.49,32.26
KnAsF13_4,Kaniere,Lab,Female,3x,Asexual,16C,2.88,13.66
KnFF16_5,Kaniere,Field,Female,2x,Sexual,16C,78.65,108.64
KnFF16_7,Kaniere,Field,Female,3x,Asexual,16C,2.92,6.82
KnFM16_12,Kaniere,Field,Male,2x,Sexual,16C,10.79,18.06
KnFM16_4,Kaniere,Field,Male,2x,Sexual,16C,1.71,3.52
KnFM16_5,Kaniere,Field,Male,2x,Sexual,16C,6.07,18.4
KnFM16_8,Kaniere,Field,Male,2x,Sexual,16C,10.15,15.37
MkAsF_2,Mapourika,Lab,Female,3x,Asexual,16C,7.06,16.77
MkAsM_1,Mapourika,Lab,Male,3x,Asexual,16C,5.97,32.76
MkFF17_2,Mapourika,Field,Female,2x,Sexual,16C,7.94,154.59
MkFF17_3,Mapourika,Field,Female,3x,Asexual,16C,9.71,27.44
MkFF17_5,Mapourika,Field,Female,3x,Asexual,16C,2.66,16.82
MkFF17_7,Mapourika,Field,Female,2x,Sexual,16C,2.88,62.41
MkFM16_10,Mapourika,Field,Male,2x,Sexual,16C,5.4,24.46
MkFM16_2,Mapourika,Field,Male,2x,Sexual,16C,36.02,88.36
MkFM16_3,Mapourika,Field,Male,2x,Sexual,16C,3.57,10.08
