Tag,Lake,Sex,Ploidy,RM,Temperature,Head,Righting
AxFM17_10,Alexandrina,Male,2x,Sexual,16,13.64,19.02
AxFM17_11,Alexandrina,Male,2x,Sexual,16,8.97,19.11
AxFM17_8,Alexandrina,Male,2x,Sexual,16,2.71,9.27
EyFF16_08,Ellery,Female,2x,Sexual,16,20.71,20.96
EyFF16_09,Ellery,Female,3x,Asexual,16,5.13,12.68
EyFF16_14,Ellery,Female,3x,Asexual,16,5.35,33.94
EyFF16_16,Ellery,Female,2x,Sexual,16,3.85,28.88
EyFF16_17,Ellery,Female,3x,Asexual,16,2.56,13.08
KnFF16_5,Kaniere,Female,2x,Sexual,16,78.65,108.64
KnFF16_7,Kaniere,Female,3x,Asexual,16,2.92,6.82
KnFM16_12,Kaniere,Male,2x,Sexual,16,10.79,18.06
KnFM16_4,Kaniere,Male,2x,Sexual,16,1.71,3.52
KnFM16_5,Kaniere,Male,2x,Sexual,16,6.07,18.4
KnFM16_8,Kaniere,Male,2x,Sexual,16,10.15,15.37
MpFF17_2,Mapourika,Female,2x,Sexual,16,7.94,154.59
MpFF17_3,Mapourika,Female,3x,Asexual,16,9.71,27.44
MpFF17_5,Mapourika,Female,3x,Asexual,16,2.66,16.82
MpFF17_7,Mapourika,Female,2x,Sexual,16,2.88,62.41
MpFM16_10,Mapourika,Male,2x,Sexual,16,5.4,24.46
MpFM16_2,Mapourika,Male,2x,Sexual,16,36.02,88.36
MpFM16_3,Mapourika,Male,2x,Sexual,16,3.57,10.08
MpFM16_4,Mapourika,Male,2x,Sexual,16,3.19,9.08
MpFM16_7,Mapourika,Male,2x,Sexual,16,2.23,21.82
MpFM16_9,Mapourika,Male,2x,Sexual,16,3.31,18.42
RrFF16_08,Rotoroa,Female,2x,Sexual,16,3.37,25.82
RrFF17_2,Rotoroa,Female,3x,Asexual,16,3.82,32.23
RrFF17_3,Rotoroa,Female,2x,Sexual,16,11.55,44.88
RrFF17_5,Rotoroa,Female,2x,Sexual,16,11.79,20.94
RrFF17_6,Rotoroa,Female,2x,Sexual,16,6.03,37.82
SeF13_28,Selfe,Female,3x,Asexual,16,3.56,13.62
SeFF17_10,Selfe,Female,2x,Sexual,16,2.86,10.08
SeFF17_11,Selfe,Female,3x,Asexual,16,3.36,12.55
SeFF17_12,Selfe,Female,3x,Asexual,16,2.25,8.39
SeFF17_13,Selfe,Female,3x,Asexual,16,1.68,3.96
SeFF17_14,Selfe,Female,3x,Asexual,16,2.16,6.57
SeFF17_17,Selfe,Female,2x,Sexual,16,2.69,8.29
SeFF17_9,Selfe,Female,3x,Asexual,16,5.49,26.75
SeFM16_10,Selfe,Male,2x,Sexual,16,5.27,29.79
SeFM16_11,Selfe,Male,2x,Sexual,16,8.19,17.81
SeFM16_12,Selfe,Male,3x,Asexual,16,5.76,16.86
SeFM16_7,Selfe,Male,2x,Sexual,16,13.715,41.7
SeFM16_8,Selfe,Male,2x,Sexual,16,10.88,44.2
SeFM16_9,Selfe,Male,3x,Asexual,16,15.61,107.92
SeFM17_1,Selfe,Male,2x,Sexual,16,1.51,2.58
SeFM17_3,Selfe,Male,2x,Sexual,16,1.61,6.26
SeFM17_4,Selfe,Male,2x,Sexual,16,3.37,12.17
AxFM17_10,Alexandrina,Male,2x,Sexual,22,16.55,49.44
AxFM17_11,Alexandrina,Male,2x,Sexual,22,10.7,23.5
AxFM17_8,Alexandrina,Male,2x,Sexual,22,5.11,11.76
EyFF16_08,Ellery,Female,2x,Sexual,22,4.21,13.77
EyFF16_09,Ellery,Female,3x,Asexual,22,3.22,6.33
EyFF16_14,Ellery,Female,3x,Asexual,22,4.06,12.85
EyFF16_16,Ellery,Female,2x,Sexual,22,2.36,18.69
EyFF16_17,Ellery,Female,3x,Asexual,22,2.33,10.03
KnFF16_5,Kaniere,Female,2x,Sexual,22,13.36,22.98
KnFF16_7,Kaniere,Female,3x,Asexual,22,3.21,14.32
KnFM16_12,Kaniere,Male,2x,Sexual,22,3.94,11.21
KnFM16_4,Kaniere,Male,2x,Sexual,22,4.33,9.16
KnFM16_5,Kaniere,Male,2x,Sexual,22,4.88,8.68
KnFM16_8,Kaniere,Male,2x,Sexual,22,6.18,16.58
MpFF17_2,Mapourika,Female,2x,Sexual,22,5,174.65
MpFF17_3,Mapourika,Female,3x,Asexual,22,7.86,34.8
MpFF17_5,Mapourika,Female,3x,Asexual,22,4.37,19.54
MpFF17_7,Mapourika,Female,2x,Sexual,22,7.67,117.72
MpFM16_10,Mapourika,Male,2x,Sexual,22,8.02,19.39
MpFM16_2,Mapourika,Male,2x,Sexual,22,3.09,9.44
MpFM16_3,Mapourika,Male,2x,Sexual,22,5.13,17.66
MpFM16_4,Mapourika,Male,2x,Sexual,22,5.23,13.27
MpFM16_7,Mapourika,Male,2x,Sexual,22,6.84,11.05
MpFM16_9,Mapourika,Male,2x,Sexual,22,8.56,55.03
RrFF16_08,Rotoroa,Female,2x,Sexual,22,4.78,38.57
RrFF17_2,Rotoroa,Female,3x,Asexual,22,18.94,67.36
RrFF17_3,Rotoroa,Female,2x,Sexual,22,18.64,88.74
RrFF17_5,Rotoroa,Female,2x,Sexual,22,15.29,32.9
RrFF17_6,Rotoroa,Female,2x,Sexual,22,6.25,43.06
SeF13_28,Selfe,Female,3x,Asexual,22,13.97,31.73
SeFF17_10,Selfe,Female,2x,Sexual,22,3.06,79.09
SeFF17_11,Selfe,Female,3x,Asexual,22,8.93,34.39
SeFF17_12,Selfe,Female,3x,Asexual,22,1.85,13.96
SeFF17_13,Selfe,Female,3x,Asexual,22,7.92,25
SeFF17_14,Selfe,Female,3x,Asexual,22,4.39,20.08
SeFF17_17,Selfe,Female,2x,Sexual,22,1.67,6.95
SeFF17_9,Selfe,Female,3x,Asexual,22,4.89,27.39
SeFM16_10,Selfe,Male,2x,Sexual,22,5.4,19.79
SeFM16_11,Selfe,Male,2x,Sexual,22,7.68,25.61
SeFM16_12,Selfe,Male,3x,Asexual,22,3.02,12.81
SeFM16_7,Selfe,Male,2x,Sexual,22,15.28,46.25
SeFM16_8,Selfe,Male,2x,Sexual,22,5.19,22.1
SeFM16_9,Selfe,Male,3x,Asexual,22,14.74,81.62
SeFM17_1,Selfe,Male,2x,Sexual,22,3.09,6.85
SeFM17_3,Selfe,Male,2x,Sexual,22,2.07,21.48
SeFM17_4,Selfe,Male,2x,Sexual,22,2.55,17.69
AxFM17_10,Alexandrina,Male,2x,Sexual,30,16.51,85.39
AxFM17_11,Alexandrina,Male,2x,Sexual,30,11.97,19.61
AxFM17_8,Alexandrina,Male,2x,Sexual,30,10.72,21.78
EyFF16_08,Ellery,Female,2x,Sexual,30,7.33,17.3
EyFF16_09,Ellery,Female,3x,Asexual,30,12.17,25.01
EyFF16_14,Ellery,Female,3x,Asexual,30,19.14,35.28
EyFF16_16,Ellery,Female,2x,Sexual,30,14.13,77.27
EyFF16_17,Ellery,Female,3x,Asexual,30,2.48,60.86
KnFF16_5,Kaniere,Female,2x,Sexual,30,8.78,17.72
KnFF16_7,Kaniere,Female,3x,Asexual,30,144.68,180
KnFM16_12,Kaniere,Male,2x,Sexual,30,19.05,30.45
KnFM16_4,Kaniere,Male,2x,Sexual,30,13.95,22.3
KnFM16_5,Kaniere,Male,2x,Sexual,30,10.53,24.15
KnFM16_8,Kaniere,Male,2x,Sexual,30,36.82,102.56
MpFF17_2,Mapourika,Female,2x,Sexual,30,4.41,37.08
MpFF17_3,Mapourika,Female,3x,Asexual,30,9.2,180
MpFF17_5,Mapourika,Female,3x,Asexual,30,5.64,50.08
MpFF17_7,Mapourika,Female,2x,Sexual,30,32.03,180
MpFM16_10,Mapourika,Male,2x,Sexual,30,3.95,134.44
MpFM16_2,Mapourika,Male,2x,Sexual,30,18.82,56.73
MpFM16_3,Mapourika,Male,2x,Sexual,30,23.19,47.47
MpFM16_4,Mapourika,Male,2x,Sexual,30,7.08,107.26
MpFM16_7,Mapourika,Male,2x,Sexual,30,4.2,16.64
MpFM16_9,Mapourika,Male,2x,Sexual,30,9.14,100.01
RrFF16_08,Rotoroa,Female,2x,Sexual,30,66.21,110.32
RrFF17_2,Rotoroa,Female,3x,Asexual,30,55.16,107.84
RrFF17_3,Rotoroa,Female,2x,Sexual,30,24.55,127.32
RrFF17_5,Rotoroa,Female,2x,Sexual,30,12.17,23.21
RrFF17_6,Rotoroa,Female,2x,Sexual,30,9.52,85.65
SeF13_28,Selfe,Female,3x,Asexual,30,16.99,89.26
SeFF17_10,Selfe,Female,2x,Sexual,30,4.88,180
SeFF17_11,Selfe,Female,3x,Asexual,30,4.92,41.75
SeFF17_12,Selfe,Female,3x,Asexual,30,3.18,14.47
SeFF17_13,Selfe,Female,3x,Asexual,30,11.63,37.94
SeFF17_14,Selfe,Female,3x,Asexual,30,6.09,25.6
SeFF17_17,Selfe,Female,2x,Sexual,30,13.7,27.18
SeFF17_9,Selfe,Female,3x,Asexual,30,55.63,100.29
