Tag,Lake,Ploidy,RM,Mean Mass,log_mass,O2_Consumption_16C,square_root_16C,resid_16C,O2_Consumption_22C,resid_22C,O2_Consumption_30C,squared_30C,resid_30C
AxsF15_17,Alexandrina,3x,asex,0.007903333,-2.102189719,64.1,8.00624756,-1.687745,184.57,51.0965084,96,9216,-82.7104939
AxsF15_18,Alexandrina,2x,sex,0.0081,-2.091514981,124.2,11.14450537,1.38024766,190.95,56.0815711,122.6,15030.76,-55.7819972
AxsF15_19,Alexandrina,2x,sex,0.00997,-2.001304842,84.9,9.2141196,-1.14393521,144.56,-2.0967731,98.3,9662.89,-77.3059349
AxsF15_20,Alexandrina,2x,sex,0.014713333,-1.832288936,108.1,10.39711498,-1.07346618,234.29,65.5468217,89.8,8064.04,-80.6047603
AxsF15_21,Alexandrina,2x,sex,0.00867,-2.061980903,67.8,8.23407554,-1.72458659,130.2,-8.5278385,138.9,19293.21,-38.5731366
AxsF15_23,Alexandrina,2x,sex,0.013283333,-1.87669294,70.6,8.402380615,-2.77591666,220.42,57.479381,184.08,33885.4464,12.3087827
AxsF15_25,Alexandrina,2x,sex,0.0082,-2.086186148,154.1,12.41370211,2.61436802,,,195.76,38321.9776,17.5419885
AxsF15_26,Alexandrina,2x,sex,0.01061,-1.974284616,68,8.246211251,-2.28970087,87.9,-62.2876814,159.66,25491.3156,-15.1144338
AxsF15_27,Alexandrina,2x,sex,0.008,-2.096910013,14.7,3.834057903,-5.89468767,143,8.836575,180.3,32508.09,1.75198
AxsF15_28,Alexandrina,2x,sex,0.01005,-1.997833938,76.1,8.723531395,-1.65737022,153.3,6.1896613,,,
AxsF15_30,Alexandrina,3x,asex,0.017626667,-1.7538298,222.03,14.90067113,2.91364239,184.03,5.0340572,226.767,51423.27229,58.7766851
AxsF15_31,Alexandrina,2x,sex,0.009496667,-2.02242879,64.5,8.031189202,-2.18781983,169.79,25.8936302,180.59,32612.7481,4.3340119
AxsF15_32,Alexandrina,2x,sex,0.010666667,-1.971971263,89.3,9.449867724,-1.10127175,179.16,28.6700178,230.299,53037.6294,55.5957557
AxsF15_4,Alexandrina,3x,asex,0.009633333,-2.016223427,119.6,10.93617849,0.67632342,164.5,19.7927352,185.94,34573.6836,9.8749713
AxsF15_6,Alexandrina,2x,sex,0.007355,-2.133417323,132.2,11.49782588,2.00938517,198.76,69.3672221,,,
CwF15_17,Clearwater,3x,asex,0.018013333,-1.744405922,101,10.04987562,-1.99918463,213.838,33.6105779,90.8,8244.64,-76.9003112
CwF15_18,Clearwater,3x,asex,0.013523333,-1.868916258,115.7,10.75639345,-0.47309288,84.6,-79.3568485,164.06,26915.6836,-7.4719033
CwF15_19,Clearwater,3x,asex,0.014805,-1.829591588,,,,111.6,-57.4956583,185.44,34387.9936,15.118246
CwF15_20,Clearwater,4x,asex,0.012766667,-1.893922469,88.3,9.396807969,-1.66807806,158.1,-2.5891246,80.3,6448.09,-92.0014265
HrF15_14,Heron,3x,asex,0.010165,-1.992892617,211.01,14.52618326,4.11275601,143.6,-4.1560532,,,
HrF15_6,Heron,3x,asex,0.01564,-1.805763251,146.88,12.11940593,0.47422273,248.8352,76.6257383,,,
KnF15_10,Kaniere,2x,sex,0.007276667,-2.138067499,129.3,11.37101579,1.91318429,211.03,82.2448907,258,66564,78.1854289
KnF15_13,Kaniere,2x,sex,0.0078,-2.107905397,194.8,13.95707706,4.30070724,172.54,39.8134132,224.1,50220.81,45.2136159
KnF15_14,Kaniere,2x,sex,0.009266667,-2.033076443,104.9,10.2420701,0.09314793,116.9,-25.6049718,73.5,5402.25,-103.0836514
KnF15_15,Kaniere,2x,sex,0.010333333,-1.985759575,168.8,12.99230542,2.53192581,146.8,-1.888174,215.46,46423.0116,40.3324441
KnF15_16,Kaniere,2x,sex,0.010546667,-1.976884766,264.7,16.26960356,5.75080661,180.35,30.5020971,75.7,5730.49,-99.1544489
KnF15_17,Kaniere,2x,sex,0.009485,-2.022962665,101.9,10.09455299,-0.12094188,79.9,-63.9266049,223.23,49831.6329,46.9575828
KnF15_18,Kaniere,2x,sex,0.009833333,-2.007299253,51.4,7.169379332,-3.14921801,67,-78.8734445,31.5,992.25,-144.2904026
KnF15_19,Kaniere,2x,sex,0.01175,-1.929962133,119.5,10.93160555,0.10394616,108.1,-47.8795879,201.68,40674.8224,28.2695146
KnF15_20,Kaniere,2x,sex,0.008833333,-2.053875397,109,10.44030651,0.42829089,111.2,-28.5870376,254.229,64632.38444,77.0052965
KnF15_22,Kaniere,2x,sex,0.007266667,-2.138664741,95.6,9.777525249,0.32362502,134.5,5.7929362,221.16,48911.7456,41.3270498
KnF15_23,Kaniere,2x,sex,0.0072,-2.142667504,89.1,9.439279634,0.0117271,63.3,-64.8839967,242.081,58603.21056,62.1248717
KnF15_24,Kaniere,2x,sex,0.0097,-2.013228266,95.3,9.762171889,-0.51739846,137.2,-7.8986619,229.542,52689.52976,53.5691422
KnF15_25,Kaniere,2x,sex,0.0094,-2.026872146,106.8,10.33440855,0.14464736,122.1,-21.2157276,,,
KnF15_26,Kaniere,2x,sex,0.0106,-1.974694135,115.5,10.74709263,0.21387612,183.72,33.5858331,229.16,52514.3056,54.372964
KnF15_27,Kaniere,2x,sex,0.007333333,-2.134698594,47.7,6.90651866,-2.57348824,157.2,27.9746541,142.85,20406.1225,-36.8608988
KnF15_28,Kaniere,2x,sex,0.008726667,-2.059151596,93.8,9.68504001,-0.29224568,161.6,22.5024376,167.65,28106.5225,-9.7360695
KnF15_9,Kaniere,2x,sex,0.012085,-1.917753345,146.4,12.09958677,1.19156454,162.89,5.3150106,262.398,68852.7104,89.3632191
PgF15_18,Paringa,2x,sex,0.009966667,-2.001450052,96.1,9.803060747,-0.55403824,146.9,0.2622024,74,5476,-101.6104035
PgF15_20,Paringa,2x,sex,0.0075,-2.124938737,83.9,9.159694318,-0.38455564,126.5,-4.0007298,,,
PgF15_21,Paringa,2x,sex,0.0072,-2.142667504,81.1,9.005553842,-0.42199869,166.75,38.5660033,216.46,46854.9316,36.5038717
PgF15_22,Paringa,2x,sex,0.01588,-1.799149502,122.1,11.04988688,-0.63883051,199.7,26.6262768,223.573,49984.88633,54.188049
PgF15_23,Paringa,2x,sex,0.01066,-1.972242795,128.4,11.33137238,0.78202023,180.08,29.6255006,77,5929,-97.7116002
RrF15_19,Rotoroa,3x,asex,0.011175,-1.951752468,187.43,13.69050766,3.00628046,114.3,-38.8321034,,,
RrF15_25,Rotoroa,3x,asex,0.010846667,-1.964703693,247,15.71623365,5.11725629,147.4,-4.0396828,174.41,30418.8481,-0.0695973
RrF15_26,Rotoroa,3x,asex,0.012533333,-1.901933421,101.9,10.09455299,-0.91760194,135.6,-24.0422815,232.7,54149.29,60.1520502
RrF15_27,Rotoroa,3x,asex,0.010083333,-1.99639589,58,7.615773106,-2.77459428,152.6,5.3017423,169.04,28574.5216,-6.4148703
RrF15_28,Rotoroa,3x,asex,0.00884,-2.053547735,85.7,9.257429449,-0.75674297,111.2,-28.6298553,189.53,35921.6209,12.3163797
RrF15_29,Rotoroa,3x,asex,0.008933333,-2.048986477,51.8,7.197221686,-2.84697465,89.6,-50.8259045,202.45,40986.0025,25.3767446
RrF15_30,Rotoroa,3x,asex,0.01008,-1.996539468,46.4,6.811754546,-3.57766775,162.5,15.2205045,210.364,44253.0125,34.9047113
RrF15_31,Rotoroa,3x,asex,0.010563333,-1.976199029,79.3,8.905054744,-1.61825598,165.4,15.4624874,193.23,37337.8329,18.3966535
RrF15_32,Rotoroa,3x,asex,0.010406667,-1.982688342,39.5,6.284902545,-4.19569308,59.2,-89.889512,148.86,22159.2996,-26.173044
RrF15_33,Rotoroa,3x,asex,0.008256667,-2.083195231,162.1,12.73184983,2.9128284,108,-27.9556246,102.9,10588.41,-75.2259711
RrF15_34,Rotoroa,3x,asex,0.0131,-1.882728704,116.3,10.78424777,-0.35431984,154.54,-7.6118865,217.66,47375.8756,45.7030424
RrF15_35,Rotoroa,3x,asex,0.012536667,-1.90181791,213.1,14.59794506,3.58502979,133.93,-25.7273761,162.65,26455.0225,-9.8943952
RrF15_36,Rotoroa,3x,asex,0.01194,-1.922995673,99.8,9.989994995,-0.88352026,135.1,-21.7899404,151,22801,-22.1961045
RrF15_37,Rotoroa,4x,asex,0.01124,-1.949233689,,,,146.3,-7.1612486,267.1,71342.41,93.0964655
RrF15_38,Rotoroa,3x,asex,0.00945,-2.024568191,143.8,11.99166377,1.78673708,127.7,-15.9168003,124.29,15448.0041,-52.0318245
RrF15_39,Rotoroa,3x,asex,0.0092,-2.036212173,122.5,11.06797181,0.9396902,0.0092,-142.0860057,222.25,49395.0625,45.5698519
RrF15_40,Rotoroa,3x,asex,0.0141,-1.850780887,149.9,12.24336555,0.89450538,176.59,10.2632849,200.64,40256.4096,29.6661817
SeF13_10,Selfe,3x,asex,0.009375,-2.028028724,109.7,10.47377678,0.29162862,154.7,11.53541,,,
SeF13_8,Selfe,3x,asex,0.01022,-1.990549104,118.5,10.88577053,0.4569174,173.3,25.2377048,,,
SeF13_9,Selfe,3x,asex,0.010906667,-1.962307946,141.81,11.9084004,1.29365333,267.473,115.7202494,237.426,56371.10548,63.0201277
