Tag,Lake,O2_Consumption,Temp,Mass,Order,O2_mass,RM
AxsF15_17,Alexandrina,64.1,16,0.007903333,1,8110.50224,asex
AxsF15_17,Alexandrina,184.57,22,0.007903333,1,23353.43835,asex
AxsF15_17,Alexandrina,96,30,0.007903333,1,12146.77403,asex
AxsF15_30,Alexandrina,222.03,16,0.017626667,1,12596.25544,asex
AxsF15_30,Alexandrina,184.03,22,0.017626667,1,10440.43097,asex
AxsF15_30,Alexandrina,226.767,30,0.017626667,1,12864.99597,asex
AxsF15_4,Alexandrina,119.6,16,0.009633333,1,12415.22534,asex
AxsF15_4,Alexandrina,164.5,22,0.009633333,1,17076.12516,asex
AxsF15_4,Alexandrina,185.94,30,0.009633333,1,19301.73077,asex
AxsF15_18,Alexandrina,124.2,16,0.0081,1,15333.33333,sex
AxsF15_18,Alexandrina,190.95,22,0.0081,1,23574.07407,sex
AxsF15_18,Alexandrina,122.6,30,0.0081,1,15135.80247,sex
AxsF15_19,Alexandrina,84.9,16,0.00997,1,8515.54664,sex
AxsF15_19,Alexandrina,144.56,22,0.00997,1,14499.4985,sex
AxsF15_19,Alexandrina,98.3,30,0.00997,1,9859.578736,sex
AxsF15_20,Alexandrina,108.1,16,0.014713333,1,7347.077647,sex
AxsF15_20,Alexandrina,234.29,22,0.014713333,1,15923.65238,sex
AxsF15_20,Alexandrina,89.8,30,0.014713333,1,6103.307796,sex
AxsF15_21,Alexandrina,67.8,16,0.00867,1,7820.069204,sex
AxsF15_21,Alexandrina,130.2,22,0.00867,1,15017.30104,sex
AxsF15_21,Alexandrina,138.9,30,0.00867,1,16020.76125,sex
AxsF15_23,Alexandrina,70.6,16,0.013283333,1,5314.931125,sex
AxsF15_23,Alexandrina,220.42,22,0.013283333,1,16593.72689,sex
AxsF15_23,Alexandrina,184.08,30,0.013283333,1,13857.96773,sex
AxsF15_26,Alexandrina,68,16,0.01061,1,6409.048068,sex
AxsF15_26,Alexandrina,87.9,22,0.01061,1,8284.637135,sex
AxsF15_26,Alexandrina,159.66,30,0.01061,1,15048.06786,sex
AxsF15_27,Alexandrina,14.7,16,0.008,1,1837.5,sex
AxsF15_27,Alexandrina,143,22,0.008,1,17875,sex
AxsF15_27,Alexandrina,180.3,30,0.008,1,22537.5,sex
AxsF15_31,Alexandrina,64.5,16,0.009496667,1,6791.856553,sex
AxsF15_31,Alexandrina,169.79,22,0.009496667,1,17878.90425,sex
AxsF15_31,Alexandrina,180.59,30,0.009496667,1,19016.14535,sex
AxsF15_32,Alexandrina,89.3,16,0.010666667,1,8371.874738,sex
AxsF15_32,Alexandrina,179.16,22,0.010666667,1,16796.24948,sex
AxsF15_32,Alexandrina,230.299,30,0.010666667,1,21590.53058,sex
AxsF15_25,Alexandrina,154.1,16,0.0082,1,18792.68293,sex
AxsF15_25,Alexandrina,125.5,22,0.0082,1,16593.72689,sex
AxsF15_25,Alexandrina,195.76,30,0.0082,1,23873.17073,sex
AxsF15_28,Alexandrina,76.1,16,0.01005,1,7572.139303,sex
AxsF15_28,Alexandrina,153.3,22,0.01005,1,15253.73134,sex
AxsF15_28,Alexandrina,172.83,30,0.01005,1,12864.99597,sex
AxsF15_6,Alexandrina,132.2,16,0.007355,1,17974.16723,sex
AxsF15_6,Alexandrina,198.76,22,0.007355,1,27023.79334,sex
AxsF15_6,Alexandrina,62.7143,30,0.007703333,1,12864.99597,sex
CwF15_17,Clearwater,101,16,0.018013333,2,5606.957913,asex
CwF15_17,Clearwater,213.838,22,0.018013333,2,11871.0957,asex
CwF15_17,Clearwater,90.8,30,0.018013333,2,5040.710678,asex
CwF15_18,Clearwater,115.7,16,0.013523333,2,8555.583154,asex
CwF15_18,Clearwater,84.6,22,0.013523333,2,6255.854234,asex
CwF15_18,Clearwater,164.06,30,0.013523333,2,12131.62465,asex
CwF15_20,Clearwater,88.3,16,0.012766667,2,6916.448906,asex
CwF15_20,Clearwater,158.1,22,0.012766667,2,12383.81169,asex
CwF15_20,Clearwater,80.3,30,0.012766667,2,6289.817068,asex
CwF15_19,Clearwater,,16,0.014805,2,NaN,
CwF15_19,Clearwater,111.6,22,0.014805,2,7537.993921,
CwF15_19,Clearwater,185.44,30,0.014805,2,12525.49814,
KnF15_10,Kaniere,129.3,16,0.007276667,3,17769.12424,sex
KnF15_10,Kaniere,211.03,22,0.007276667,3,29000.91484,sex
KnF15_10,Kaniere,258,30,0.007276667,3,35455.79315,sex
KnF15_13,Kaniere,194.8,16,0.0078,3,24974.35897,sex
KnF15_13,Kaniere,172.54,22,0.0078,3,22120.51282,sex
KnF15_13,Kaniere,224.1,30,0.0078,3,28730.76923,sex
KnF15_14,Kaniere,104.9,16,0.009266667,3,11320.14348,sex
KnF15_14,Kaniere,116.9,22,0.009266667,3,12615.10746,sex
KnF15_14,Kaniere,73.5,30,0.009266667,3,7931.654391,sex
KnF15_15,Kaniere,168.8,16,0.010333333,3,16335.4844,sex
KnF15_15,Kaniere,146.8,22,0.010333333,3,14206.45207,sex
KnF15_15,Kaniere,215.46,30,0.010333333,3,20850.96841,sex
KnF15_16,Kaniere,264.7,16,0.010546667,3,25097.97645,sex
KnF15_16,Kaniere,180.35,22,0.010546667,3,17100.18909,sex
KnF15_16,Kaniere,75.7,30,0.010546667,3,7177.623035,sex
KnF15_17,Kaniere,101.9,16,0.009485,3,10743.27886,sex
KnF15_17,Kaniere,79.9,22,0.009485,3,8423.827095,sex
KnF15_17,Kaniere,223.23,30,0.009485,3,23535.05535,sex
KnF15_18,Kaniere,51.4,16,0.009833333,3,5227.118821,sex
KnF15_18,Kaniere,67,22,0.009833333,3,6813.559553,sex
KnF15_18,Kaniere,31.5,30,0.009833333,3,3203.389939,sex
KnF15_19,Kaniere,119.5,16,0.01175,3,10170.21277,sex
KnF15_19,Kaniere,108.1,22,0.01175,3,9200,sex
KnF15_19,Kaniere,201.68,30,0.01175,3,17164.25532,sex
KnF15_20,Kaniere,109,16,0.008833333,3,12339.62311,sex
KnF15_20,Kaniere,111.2,22,0.008833333,3,12588.67972,sex
